Score,Total,Male,Female
800.00,11959.00,8072.00,3887.00
790.00,3588.00,2327.00,1261.00
780.00,3770.00,2377.00,1393.00
770.00,9663.00,6340.00,3323.00
760.00,7016.00,4413.00,2603.00
750.00,10313.00,6721.00,3592.00
740.00,7542.00,4612.00,2930.00
730.00,9721.00,6004.00,3717.00
720.00,7674.00,4664.00,3010.00
710.00,15694.00,9508.00,6186.00
700.00,17394.00,10568.00,6826.00
690.00,21305.00,12858.00,8447.00
680.00,22953.00,13552.00,9401.00
670.00,24377.00,14205.00,10172.00
660.00,27356.00,15564.00,11792.00
650.00,26303.00,14685.00,11618.00
640.00,26844.00,14906.00,11938.00
630.00,28425.00,15675.00,12750.00
620.00,31515.00,17018.00,14497.00
610.00,44082.00,23042.00,21040.00
600.00,33358.00,17325.00,16033.00
590.00,38788.00,20170.00,18618.00
580.00,40879.00,20699.00,20180.00
570.00,51731.00,25790.00,25941.00
560.00,38232.00,18782.00,19450.00
550.00,38473.00,18659.00,19814.00
540.00,54552.00,26165.00,28387.00
530.00,55065.00,25373.00,29692.00
520.00,43599.00,20022.00,23577.00
510.00,45452.00,20673.00,24779.00
500.00,61084.00,26823.00,34261.00
490.00,57090.00,25113.00,31977.00
480.00,40871.00,17594.00,23277.00
470.00,47521.00,20181.00,27340.00
460.00,58137.00,23544.00,34593.00
450.00,50172.00,20777.00,29395.00
440.00,39180.00,15576.00,23604.00
430.00,46320.00,18412.00,27908.00
420.00,47752.00,18154.00,29598.00
410.00,41915.00,16052.00,25863.00
400.00,30052.00,11210.00,18842.00
390.00,32466.00,12140.00,20326.00
380.00,27135.00,9984.00,17151.00
370.00,25852.00,9484.00,16368.00
360.00,23847.00,8809.00,15038.00
350.00,20800.00,7755.00,13045.00
340.00,17639.00,6554.00,11085.00
330.00,14623.00,5371.00,9252.00
320.00,11400.00,4295.00,7105.00
310.00,11776.00,4411.00,7365.00
300.00,8430.00,3300.00,5130.00
290.00,7358.00,2898.00,4460.00
280.00,7358.00,2872.00,4486.00
270.00,3194.00,1301.00,1893.00
260.00,3495.00,1375.00,2120.00
250.00,2163.00,821.00,1342.00
240.00,3278.00,1303.00,1975.00
230.00,1454.00,555.00,899.00
220.00,2519.00,991.00,1528.00
210.00,1221.00,501.00,720.00
200.00,4265.00,1868.00,2397.00
